"model_type","n","innov_dist","contamination","epsilon","hp_scenario","delta","rate_linearized","rate_l2","mean_loc_linearized","mean_loc_l2"
"LMHC",5000,"normal","IO",0.05,"H1",0.25,0.403,0.025,0.5002,0.5224
"LMHC",500,"t3","IO",0.05,"H1",0.25,0.021,0.01,0.5276,0.5255
"LMHC",1000,"t3","IO",0.05,"H1",0.25,0.039,0.01,0.5164,0.5178
"LMHC",5000,"t3","IO",0.05,"H1",0.25,0.579,0.024,0.5018,0.5126
"LMHC",500,"normal","RO",0.05,"H1",0.25,0.085,0.016,0.5104,0.5455
"LMHC",1000,"normal","RO",0.05,"H1",0.25,0.144,0.027,0.5094,0.5302
"LMHC",5000,"normal","RO",0.05,"H1",0.25,0.625,0.222,0.499,0.5146
"LMHC",500,"t3","RO",0.05,"H1",0.25,0.082,0.02,0.5114,0.5467
"LMHC",1000,"t3","RO",0.05,"H1",0.25,0.178,0.021,0.5076,0.5237
"LMHC",5000,"t3","RO",0.05,"H1",0.25,0.865,0.247,0.503,0.5171
"LMHC",500,"normal","Clean",0,"H2",0.25,0.09,0.015,0.5327,0.5377
"LMHC",1000,"normal","Clean",0,"H2",0.25,0.107,0.019,0.5051,0.5215
"LMHC",5000,"normal","Clean",0,"H2",0.25,0.282,0.103,0.5073,0.5109
"LMHC",500,"t3","Clean",0,"H2",0.25,0.073,0.013,0.5171,0.5443
"LMHC",1000,"t3","Clean",0,"H2",0.25,0.101,0.018,0.5102,0.5239
"LMHC",5000,"t3","Clean",0,"H2",0.25,0.47,0.119,0.5003,0.5037
"LMHC",500,"normal","AO",0.05,"H2",0.25,0.079,0.008,0.5116,0.5303
"LMHC",1000,"normal","AO",0.05,"H2",0.25,0.091,0.013,0.5154,0.5161
"LMHC",5000,"normal","AO",0.05,"H2",0.25,0.249,0.039,0.5105,0.5063
"LMHC",500,"t3","AO",0.05,"H2",0.25,0.064,0.008,0.5209,0.5165
"LMHC",1000,"t3","AO",0.05,"H2",0.25,0.083,0.007,0.5186,0.5162
"LMHC",5000,"t3","AO",0.05,"H2",0.25,0.403,0.043,0.508,0.4958
"LMHC",500,"normal","IO",0.05,"H2",0.25,0.028,0.01,0.5172,0.5167
"LMHC",1000,"normal","IO",0.05,"H2",0.25,0.026,0.005,0.5129,0.5188
"LMHC",5000,"normal","IO",0.05,"H2",0.25,0.128,0.015,0.5043,0.5069
"LMHC",500,"t3","IO",0.05,"H2",0.25,0.016,0.006,0.5202,0.5196
"LMHC",1000,"t3","IO",0.05,"H2",0.25,0.024,0.006,0.5151,0.5271
"LMHC",5000,"t3","IO",0.05,"H2",0.25,0.186,0.019,0.5127,0.5159
"LMHC",500,"normal","RO",0.05,"H2",0.25,0.076,0.005,0.516,0.5417
"LMHC",1000,"normal","RO",0.05,"H2",0.25,0.083,0.02,0.5251,0.5517
"LMHC",5000,"normal","RO",0.05,"H2",0.25,0.248,0.064,0.5029,0.5187
"LMHC",500,"t3","RO",0.05,"H2",0.25,0.068,0.017,0.522,0.5418
"LMHC",1000,"t3","RO",0.05,"H2",0.25,0.075,0.011,0.514,0.5398
"LMHC",5000,"t3","RO",0.05,"H2",0.25,0.367,0.058,0.5112,0.5321
"LMHC",500,"normal","Clean",0,"H1",0.5,0.265,0.07,0.5174,0.5227
"LMHC",1000,"normal","Clean",0,"H1",0.5,0.513,0.192,0.504,0.5173
"LMHC",5000,"normal","Clean",0,"H1",0.5,1,0.995,0.5017,0.4991
"LMHC",500,"t3","Clean",0,"H1",0.5,0.363,0.046,0.5176,0.5241
"LMHC",1000,"t3","Clean",0,"H1",0.5,0.736,0.188,0.5073,0.5157
"LMHC",5000,"t3","Clean",0,"H1",0.5,1,0.974,0.4996,0.4982
"LMHC",500,"normal","AO",0.05,"H1",0.5,0.219,0.011,0.5174,0.5351
"LMHC",1000,"normal","AO",0.05,"H1",0.5,0.463,0.029,0.5063,0.5099
"LMHC",5000,"normal","AO",0.05,"H1",0.5,1,0.555,0.504,0.504
"LMHC",500,"t3","AO",0.05,"H1",0.5,0.303,0.015,0.5175,0.525
"LMHC",1000,"t3","AO",0.05,"H1",0.5,0.648,0.023,0.5085,0.5233
"LMHC",5000,"t3","AO",0.05,"H1",0.5,1,0.555,0.501,0.5057
"LMHC",500,"normal","IO",0.05,"H1",0.5,0.046,0.008,0.5194,0.5315
"LMHC",1000,"normal","IO",0.05,"H1",0.5,0.156,0.012,0.5063,0.5163
"LMHC",5000,"normal","IO",0.05,"H1",0.5,0.973,0.062,0.5012,0.5093
"LMHC",500,"t3","IO",0.05,"H1",0.5,0.057,0.009,0.5136,0.5175
"LMHC",1000,"t3","IO",0.05,"H1",0.5,0.191,0.014,0.5095,0.5169
"LMHC",5000,"t3","IO",0.05,"H1",0.5,0.996,0.069,0.5033,0.5183
"LMHC",500,"normal","RO",0.05,"H1",0.5,0.205,0.032,0.5179,0.5358
"LMHC",1000,"normal","RO",0.05,"H1",0.5,0.379,0.08,0.5125,0.5202
"LMHC",5000,"normal","RO",0.05,"H1",0.5,0.999,0.933,0.4994,0.5048
"LMHC",500,"t3","RO",0.05,"H1",0.5,0.248,0.027,0.5134,0.5283
"LMHC",1000,"t3","RO",0.05,"H1",0.5,0.582,0.092,0.5124,0.5214
"LMHC",5000,"t3","RO",0.05,"H1",0.5,1,0.918,0.5021,0.5025
"LMHC",500,"normal","Clean",0,"H2",0.5,0.14,0.023,0.5252,0.5351
"LMHC",1000,"normal","Clean",0,"H2",0.5,0.194,0.043,0.5127,0.5275
"LMHC",5000,"normal","Clean",0,"H2",0.5,0.805,0.529,0.4966,0.5028
"LMHC",500,"t3","Clean",0,"H2",0.5,0.141,0.015,0.5201,0.5249
"LMHC",1000,"t3","Clean",0,"H2",0.5,0.278,0.041,0.5147,0.5198
"LMHC",5000,"t3","Clean",0,"H2",0.5,0.975,0.542,0.5106,0.5177
"LMHC",500,"normal","AO",0.05,"H2",0.5,0.112,0.006,0.5234,0.5296
"LMHC",1000,"normal","AO",0.05,"H2",0.5,0.189,0.011,0.5261,0.5151
"LMHC",5000,"normal","AO",0.05,"H2",0.5,0.775,0.125,0.5052,0.5096
"LMHC",500,"t3","AO",0.05,"H2",0.5,0.115,0.004,0.5183,0.5343
"LMHC",1000,"t3","AO",0.05,"H2",0.5,0.248,0.008,0.5192,0.5216
"LMHC",5000,"t3","AO",0.05,"H2",0.5,0.967,0.118,0.5063,0.51
"LMHC",500,"normal","IO",0.05,"H2",0.5,0.039,0.002,0.5287,0.5257
"LMHC",1000,"normal","IO",0.05,"H2",0.5,0.061,0.007,0.5217,0.5192
"LMHC",5000,"normal","IO",0.05,"H2",0.5,0.543,0.023,0.5065,0.507
"LMHC",500,"t3","IO",0.05,"H2",0.5,0.02,0.007,0.5232,0.5282
"LMHC",1000,"t3","IO",0.05,"H2",0.5,0.044,0.007,0.5229,0.5239
"LMHC",5000,"t3","IO",0.05,"H2",0.5,0.74,0.025,0.5038,0.5074
"LMHC",500,"normal","RO",0.05,"H2",0.5,0.102,0.026,0.5165,0.5409
"LMHC",1000,"normal","RO",0.05,"H2",0.5,0.159,0.028,0.524,0.5477
"LMHC",5000,"normal","RO",0.05,"H2",0.5,0.727,0.327,0.5033,0.5135
"LMHC",500,"t3","RO",0.05,"H2",0.5,0.101,0.009,0.5304,0.5415
"LMHC",1000,"t3","RO",0.05,"H2",0.5,0.201,0.024,0.5121,0.5255
"LMHC",5000,"t3","RO",0.05,"H2",0.5,0.957,0.321,0.5061,0.5223
"LMHC",500,"normal","Clean",0,"H1",0.75,0.502,0.138,0.512,0.5188
"LMHC",1000,"normal","Clean",0,"H1",0.75,0.857,0.505,0.5084,0.5048
"LMHC",5000,"normal","Clean",0,"H1",0.75,1,1,0.501,0.5006
"LMHC",500,"t3","Clean",0,"H1",0.75,0.683,0.166,0.5096,0.5192
"LMHC",1000,"t3","Clean",0,"H1",0.75,0.983,0.51,0.5027,0.5064
"LMHC",5000,"t3","Clean",0,"H1",0.75,1,0.996,0.5011,0.5005
"LMHC",500,"normal","AO",0.05,"H1",0.75,0.435,0.013,0.5037,0.5245
"LMHC",1000,"normal","AO",0.05,"H1",0.75,0.813,0.066,0.5074,0.5118
"LMHC",5000,"normal","AO",0.05,"H1",0.75,1,0.936,0.501,0.5012
"LMHC",500,"t3","AO",0.05,"H1",0.75,0.592,0.018,0.511,0.5234
