"model_type","n","innov_dist","contamination","epsilon","hp_scenario","delta","rate_linearized","rate_l2","mean_loc_linearized","mean_loc_l2"
"LMHC",5000,"normal","IO",0.05,"H1",0.25,0.549,0.039,0.5092,0.5291
"LMHC",500,"t3","IO",0.05,"H1",0.25,0.059,0.007,0.5346,0.5558
"LMHC",1000,"t3","IO",0.05,"H1",0.25,0.126,0.019,0.5281,0.5327
"LMHC",5000,"t3","IO",0.05,"H1",0.25,0.838,0.038,0.504,0.5184
"LMHC",500,"normal","RO",0.05,"H1",0.25,0.081,0.018,0.5347,0.565
"LMHC",1000,"normal","RO",0.05,"H1",0.25,0.148,0.062,0.5189,0.5383
"LMHC",5000,"normal","RO",0.05,"H1",0.25,0.683,0.388,0.5052,0.519
"LMHC",500,"t3","RO",0.05,"H1",0.25,0.087,0.019,0.5364,0.5609
"LMHC",1000,"t3","RO",0.05,"H1",0.25,0.222,0.037,0.5264,0.533
"LMHC",5000,"t3","RO",0.05,"H1",0.25,0.931,0.385,0.5039,0.5128
"LMHC",500,"normal","Clean",0,"H2",0.25,0.065,0.019,0.5458,0.5514
"LMHC",1000,"normal","Clean",0,"H2",0.25,0.094,0.036,0.5151,0.5274
"LMHC",5000,"normal","Clean",0,"H2",0.25,0.287,0.181,0.5133,0.5202
"LMHC",500,"t3","Clean",0,"H2",0.25,0.081,0.023,0.5346,0.548
"LMHC",1000,"t3","Clean",0,"H2",0.25,0.102,0.03,0.5314,0.5324
"LMHC",5000,"t3","Clean",0,"H2",0.25,0.511,0.178,0.5116,0.5117
"LMHC",500,"normal","AO",0.05,"H2",0.25,0.064,0.013,0.5448,0.5489
"LMHC",1000,"normal","AO",0.05,"H2",0.25,0.082,0.022,0.5331,0.5371
"LMHC",5000,"normal","AO",0.05,"H2",0.25,0.267,0.072,0.5254,0.5277
"LMHC",500,"t3","AO",0.05,"H2",0.25,0.063,0.013,0.534,0.5496
"LMHC",1000,"t3","AO",0.05,"H2",0.25,0.093,0.018,0.532,0.5285
"LMHC",5000,"t3","AO",0.05,"H2",0.25,0.457,0.086,0.5254,0.51
"LMHC",500,"normal","IO",0.05,"H2",0.25,0.029,0.015,0.541,0.5486
"LMHC",1000,"normal","IO",0.05,"H2",0.25,0.047,0.015,0.5307,0.5351
"LMHC",5000,"normal","IO",0.05,"H2",0.25,0.209,0.034,0.5071,0.5114
"LMHC",500,"t3","IO",0.05,"H2",0.25,0.032,0.008,0.5297,0.547
"LMHC",1000,"t3","IO",0.05,"H2",0.25,0.061,0.018,0.5295,0.5463
"LMHC",5000,"t3","IO",0.05,"H2",0.25,0.332,0.034,0.5287,0.5283
"LMHC",500,"normal","RO",0.05,"H2",0.25,0.045,0.016,0.5377,0.5614
"LMHC",1000,"normal","RO",0.05,"H2",0.25,0.081,0.029,0.5388,0.5664
"LMHC",5000,"normal","RO",0.05,"H2",0.25,0.263,0.106,0.5093,0.5241
"LMHC",500,"t3","RO",0.05,"H2",0.25,0.049,0.015,0.5326,0.5508
"LMHC",1000,"t3","RO",0.05,"H2",0.25,0.086,0.027,0.5261,0.5455
"LMHC",5000,"t3","RO",0.05,"H2",0.25,0.443,0.094,0.5209,0.5379
"LMHC",500,"normal","Clean",0,"H1",0.5,0.242,0.119,0.5268,0.5402
"LMHC",1000,"normal","Clean",0,"H1",0.5,0.518,0.334,0.516,0.5201
"LMHC",5000,"normal","Clean",0,"H1",0.5,1,1,0.5026,0.5021
"LMHC",500,"t3","Clean",0,"H1",0.5,0.397,0.105,0.5227,0.5367
"LMHC",1000,"t3","Clean",0,"H1",0.5,0.787,0.355,0.5133,0.5174
"LMHC",5000,"t3","Clean",0,"H1",0.5,1,0.991,0.5022,0.5015
"LMHC",500,"normal","AO",0.05,"H1",0.5,0.215,0.031,0.532,0.5488
"LMHC",1000,"normal","AO",0.05,"H1",0.5,0.497,0.081,0.5152,0.5293
"LMHC",5000,"normal","AO",0.05,"H1",0.5,1,0.734,0.5045,0.5113
"LMHC",500,"t3","AO",0.05,"H1",0.5,0.377,0.029,0.5241,0.5447
"LMHC",1000,"t3","AO",0.05,"H1",0.5,0.78,0.079,0.5147,0.5297
"LMHC",5000,"t3","AO",0.05,"H1",0.5,1,0.751,0.5029,0.5081
"LMHC",500,"normal","IO",0.05,"H1",0.5,0.115,0.008,0.5457,0.5516
"LMHC",1000,"normal","IO",0.05,"H1",0.5,0.32,0.024,0.5195,0.5416
"LMHC",5000,"normal","IO",0.05,"H1",0.5,0.994,0.11,0.5058,0.5165
"LMHC",500,"t3","IO",0.05,"H1",0.5,0.179,0.014,0.5323,0.5473
"LMHC",1000,"t3","IO",0.05,"H1",0.5,0.516,0.019,0.5212,0.5436
"LMHC",5000,"t3","IO",0.05,"H1",0.5,1,0.121,0.5051,0.5243
"LMHC",500,"normal","RO",0.05,"H1",0.5,0.195,0.054,0.5361,0.5356
"LMHC",1000,"normal","RO",0.05,"H1",0.5,0.457,0.182,0.5165,0.534
"LMHC",5000,"normal","RO",0.05,"H1",0.5,0.998,0.973,0.5023,0.5068
