date,abs_log_return
2014-07-02,0.00010712551089400724
2014-07-04,0.0013993858861887087
2014-07-07,0.00016442998940013887
2014-07-08,0.0004112728029257162
2014-07-09,8.228770818025088e-05
2014-07-10,0.00015634262645869423
2014-07-11,0.0007326053661254051
2014-07-14,0.0004282721747853324
2014-07-15,0.0005764850613720618
2014-07-16,0.000658447397817119
2014-07-17,0.0004937703656120451
2014-07-18,0.0009882727612250675
2014-07-21,0.0009882727612250675
2014-07-22,0.00032928302428392175
2014-07-23,0.00041161137205592
2014-07-24,0.0004939736154830898
2014-07-25,0.0006586099799462397
2014-07-28,3.296434847147034e-05
2014-07-29,0.00013167201599167955
2014-07-30,0.000987215803289948
2014-07-31,0.0009863400986167559
2014-08-01,0.0005753039789850312
2014-08-04,9.857838415278097e-05
2014-08-05,0.00034517776090936536
2014-08-06,0.0008221364789124941
2014-08-07,0.0010779645790338077
2014-08-08,0.0003210928847401373
2014-08-11,8.237581274067596e-05
2014-08-12,0.00041188265324820783
2014-08-13,0.0004285615821725264
2014-08-14,0.00023911932261444502
2014-08-15,0.0010064412494007746
2014-08-18,0.0014619986412636732
2014-08-19,0.001321681226510718
2014-08-20,0.0001651392601085544
2014-08-21,8.257985779597243e-05
2014-08-22,0.0004955239267494249
2014-08-25,0.0005205990108976821
2014-08-26,0.001712351644086757
2014-08-27,0.00041386015670066834
2014-08-28,0.0010847484255571416
2014-08-29,0.0004889112624675285
2014-09-01,0.00014091878278976733
2014-09-02,0.0008038401803547313
2014-09-03,0.00016571384535618572
2014-09-04,0.0001657413109862338
2014-09-05,0.000497289987365257
2014-09-08,0.00016585124821807962
2014-09-09,0.0005802602776335264
2014-09-10,8.288782777235437e-05
2014-09-11,0.0028965998177100105
2014-09-12,0.0004960320494653558
2014-09-15,0.00042165277770264686
2014-09-16,0.0004131044185569366
2014-09-17,0.0016618271589149414
2014-09-18,0.0018187896726698516
2014-09-19,0.0030773700298622475
2014-09-22,0.00018230649366768326
2014-09-23,0.00033124661435376956
2014-09-24,0.00033124661435376956
2014-09-25,0.0010762738635247127
2014-09-26,0.000993525978016746
2014-09-29,0.0006213689171061798
2014-09-30,0.00012428491730598346
2014-10-01,0.0006465887088653866
2014-10-02,0.0008123437560810798
2014-10-03,0.0014076124425078662
2014-10-06,0.001901141163354686
2014-10-07,0.0015514012766027208
2014-10-08,0.0005608275853920264
2014-10-09,0.0001649183149164679
2014-10-10,0.0013206010087186137
2014-10-13,0.001760888286211404
2014-10-14,1.6571093542611104e-05
2014-10-15,0.0011176041564405492
2014-10-20,8.274788550796663e-05
2014-10-21,0.00041420304185038614
2014-10-22,0.0001657413109862338
2014-10-23,0.0007210464555441332
2014-10-24,0.0003481392693021057
2014-10-27,0.0002652191487565181
2014-10-28,0.0005224423710945281
2014-10-29,0.00016590626334198055
2014-10-30,0.0002487089586201141
2014-10-31,0.00041461522196209466
2014-11-03,0.00016590626334198055
2014-11-04,0.0004148172789394944
2014-11-05,0.0008051078922715615
2014-11-06,0.0007060044433875867
2014-11-07,0.0005981061602811644
2014-11-10,0.0011134178185648602
2014-11-11,0.00013300758717876837
2014-11-12,0.0003324858031691913
2014-11-13,0.0009146764765440296
2014-11-17,0.000832331909251971
2014-11-18,8.327429779345086e-05
2014-11-19,8.326736376218502e-05
2014-11-20,8.326043088560664e-05
2014-11-21,0.0006657348344683844
2014-11-25,0.0002494743797992749
2014-11-27,0.00033267939745693087
2014-11-28,8.321194130872511e-05
2014-12-01,0.0013303627631293669
2014-12-02,0.0006649601484458034
2014-12-03,0.0009972249720115456
2014-12-04,0.0004236941558134477
2014-12-05,0.0009893183767565872
2014-12-08,0.0004157875605584893
2014-12-09,0.00044077601083858386
