"iteration","replication","scenario","contamination","percentage_contamination","shift_k","innov_dist","n","loss","bias_teta","bias_lin_teta","sq_error_teta","sq_error_lin_teta","k_rate"
1,5,"H1","IO",0.1,2,"t3",100,"Welsh",0.0222373191857204,-0.0672851913169459,0.000494498364567607,0.00452729697055801,0.5396
1,5,"H1","IO",0.1,2,"t3",500,"Welsh",-0.135455848124007,-0.0193921788409597,0.0183482867909942,0.000376056600199764,0.6089
1,5,"H2","IO",0.1,2,"t3",100,"Welsh",-0.318575191510501,-0.216029310058826,0.101490152645953,0.0466686628044926,0.588
1,5,"H2","IO",0.1,2,"t3",500,"Welsh",-0.231584532249015,-0.185285110482106,0.0536313955769952,0.0343305721663664,0.6089
2,5,"H0","clean",0.1,2,"gaussian",100,"Welsh",0.155635169451028,0.102971988030756,0.0242223059700501,0.0106032303190063,0.6394
2,5,"H0","clean",0.1,2,"gaussian",500,"Welsh",-0.076541433688028,-0.0733913646135973,0.00585859107101879,0.00538629239984598,0.6477
2,5,"H1","clean",0.1,2,"gaussian",100,"Welsh",-0.23346103507023,-0.177047783612437,0.0545040548960633,0.0313459176820764,0.5396
2,5,"H1","clean",0.1,2,"gaussian",500,"Welsh",0.0246015248044236,0.0676639017364373,0.000605235022702668,0.00457840359819825,0.482
2,5,"H2","clean",0.1,2,"gaussian",100,"Welsh",-0.0943352333181275,0.0619638022420721,0.00889913624518556,0.00383951278829462,0.6394
2,5,"H2","clean",0.1,2,"gaussian",500,"Welsh",-0.155375311385943,-0.0536346436587163,0.0241414873882787,0.00287667500039748,0.6477
2,5,"H0","AO",0.1,2,"gaussian",100,"Welsh",0.0226065012518529,0.00993368938044124,0.000511053898850025,9.86781847070911e-05,0.4515
2,5,"H0","AO",0.1,2,"gaussian",500,"Welsh",0.0634288981587474,0.0656012548914651,0.00402322512163275,0.00430352464333497,0.6477
2,5,"H1","AO",0.1,2,"gaussian",100,"Welsh",0.217512485890927,0.388445742274516,0.0473116815184506,0.1508900946912,0.4515
2,5,"H1","AO",0.1,2,"gaussian",500,"Welsh",-0.0484454549883881,-0.042055582020684,0.00234696210903194,0.00176867197909848,0.482
2,5,"H2","AO",0.1,2,"gaussian",100,"Welsh",-0.217492627882767,-0.0713498262663201,0.0473030431833517,0.00509079770823407,0.5396
2,5,"H2","AO",0.1,2,"gaussian",500,"Welsh",-0.057196393201608,0.0474895167575553,0.00327142739527295,0.00225525420186613,0.6089
2,5,"H0","IO",0.1,2,"gaussian",100,"Welsh",-0.113858758258119,-0.0949210858264102,0.0129638168320807,0.00901001253446473,0.6394
2,5,"H0","IO",0.1,2,"gaussian",500,"Welsh",0.0686877558967102,0.0562787640284362,0.00471800781012605,0.00316729928056841,0.6477
2,5,"H1","IO",0.1,2,"gaussian",100,"Welsh",-0.0793581329123005,0.0519739737450593,0.00629771325932636,0.00270129394685211,0.6394
2,5,"H1","IO",0.1,2,"gaussian",500,"Welsh",-0.14101956585072,-0.170731770930653,0.0198865179527255,0.0291493376051169,0.482
2,5,"H2","IO",0.1,2,"gaussian",100,"Welsh",-0.200523500487473,-0.0431333233118945,0.0402096742477497,0.00186048357992842,0.588
2,5,"H2","IO",0.1,2,"gaussian",500,"Welsh",-0.171914184409449,-0.0689116840777158,0.0295544868011661,0.0047488202024269,0.6477
2,5,"H0","clean",0.1,2,"t3",100,"Welsh",-0.0561665986357997,-0.0384774172225219,0.00315468680231502,0.00148051163611602,0.6394
2,5,"H0","clean",0.1,2,"t3",500,"Welsh",0.00416010974936927,0.014385921742372,1.73065131267973e-05,0.000206954744377651,0.6477
2,5,"H1","clean",0.1,2,"t3",100,"Welsh",0.0606653181304981,-0.014255161973779,0.00368028082387455,0.000203209642898674,0.5396
2,5,"H1","clean",0.1,2,"t3",500,"Welsh",-0.01554752677752,0.0814646290512666,0.000241725588897702,0.00663648578646047,0.6089
2,5,"H2","clean",0.1,2,"t3",100,"Welsh",-0.118053581911571,-0.0524911930880267,0.013936648202152,0.00275532535180451,0.6394
2,5,"H2","clean",0.1,2,"t3",500,"Welsh",-0.102446387599955,-0.0154905927942854,0.0104952623322802,0.000239958465118368,0.6089
2,5,"H0","AO",0.1,2,"t3",100,"Welsh",-0.152133363977064,-0.247275735702283,0.0231445604349779,0.0611452894671055,0.588
2,5,"H0","AO",0.1,2,"t3",500,"Welsh",0.12381669453535,0.113034099184084,0.0153305738456602,0.0127767075783574,0.6477
2,5,"H1","AO",0.1,2,"t3",100,"Welsh",-0.318352789104378,-0.245398436474225,0.101348498330537,0.060220392623994,0.588
