date,daily_price_eur_mwh,n_hours
2022-10-03,218.48208333333332,24
2022-10-04,240.02625,24
2022-10-05,93.10541666666667,24
2022-10-06,114.25833333333333,24
2022-10-07,160.625,24
2022-10-08,152.21958333333333,24
2022-10-09,135.43666666666667,24
2022-10-10,169.9675,24
2022-10-11,265.26875,24
2022-10-12,281.2808333333333,24
2022-10-13,258.3833333333333,24
2022-10-14,257.0975,24
2022-10-15,147.41291666666666,24
2022-10-16,99.95583333333333,24
2022-10-17,154.04916666666665,24
2022-10-18,182.31916666666666,24
2022-10-19,167.85458333333335,24
2022-10-20,140.54833333333332,24
2022-10-21,164.51583333333335,24
2022-10-22,137.11208333333335,24
2022-10-23,91.28458333333333,24
2022-10-24,80.81916666666667,24
2022-10-25,108.79166666666667,24
2022-10-26,121.35541666666666,24
2022-10-27,124.17416666666666,24
2022-10-28,105.94875,24
2022-10-29,101.78875,24
2022-10-30,118.3125,24
2022-10-31,143.19208333333333,24
2022-11-01,67.78291666666667,24
2022-11-02,72.83874999999999,24
2022-11-03,103.52208333333334,24
2022-11-04,181.14041666666665,24
2022-11-05,128.42291666666668,24
2022-11-06,48.687083333333334,24
2022-11-07,79.32416666666667,24
2022-11-08,95.02291666666667,24
2022-11-09,128.39041666666665,24
2022-11-10,135.40541666666667,24
2022-11-11,128.17416666666665,24
2022-11-12,163.56208333333333,24
2022-11-13,142.01708333333332,24
2022-11-14,162.30458333333334,24
2022-11-15,174.9125,24
2022-11-16,142.45583333333335,24
2022-11-17,102.60833333333333,24
2022-11-18,172.34375,24
2022-11-19,200.96541666666667,24
2022-11-20,207.725,24
2022-11-21,252.74916666666664,24
2022-11-22,205.51291666666668,24
2022-11-23,177.51125000000002,24
2022-11-24,239.365,24
2022-11-25,258.98833333333334,24
2022-11-26,236.3445833333333,24
2022-11-27,145.99666666666667,24
2022-11-28,297.5808333333334,24
2022-11-29,372.3329166666667,24
2022-11-30,393.85249999999996,24
2022-12-01,394.94958333333335,24
2022-12-02,336.36083333333335,24
2022-12-03,281.61,24
2022-12-04,267.44083333333333,24
2022-12-05,345.13166666666666,24
2022-12-06,385.04791666666665,24
2022-12-07,325.74083333333334,24
2022-12-08,389.50458333333336,24
2022-12-09,410.145,24
2022-12-10,354.14958333333334,24
2022-12-11,325.91249999999997,24
2022-12-12,435.01500000000004,24
2022-12-13,443.1716666666667,24
2022-12-14,444.925,24
2022-12-15,396.80833333333334,24
2022-12-16,410.7970833333334,24
2022-12-17,264.4845833333333,24
2022-12-18,187.41916666666668,24
2022-12-19,191.43125,24
