"scenario","contamination","innov_dist","n","bias_teta","mae_teta","bias_lin_teta","mae_lin_teta"
"H0","clean","gaussian",100,-0.00127370118444228,0.140504159318036,0.00057127640274292,0.197187543153246
"H0","clean","gaussian",500,-0.000849785139865838,0.0629447042843652,-0.0011983715833773,0.0990932784416913
"H0","clean","gaussian",1000,-0.000299072749423148,0.0443619578983683,0.000129853489372974,0.0737938324055085
"H0","clean","gaussian",5000,0.00187134966138279,0.0200340990754502,0.0025611506595076,0.0329191258850279
"H0","clean","t3",100,-0.013032833788787,0.178858162435017,-0.016056970063604,0.252055054823672
"H0","clean","t3",500,-0.00380506725238952,0.0786271458406652,-0.00175078758264815,0.136206314841189
"H0","clean","t3",1000,0.000775253432695355,0.0573295899659409,-0.00291680589533762,0.100458711111912
"H0","clean","t3",5000,-0.000522590268683173,0.0262462425966847,-0.00347543242381419,0.0470878949772526
"H1","AO","gaussian",100,-0.0362126744767854,0.153107797295032,-0.0128183141146331,0.217080760970211
"H1","AO","gaussian",500,-0.0259216056350957,0.069936283558281,-0.00292561786641831,0.106288492332853
"H1","AO","gaussian",1000,-0.0175881113387729,0.0489250416821418,-0.00113538334034507,0.0747118992427626
"H1","AO","gaussian",5000,-0.00695831921594991,0.0216057241400069,0.000469908434006869,0.0349741941018544
"H1","AO","t3",100,-0.031931007631748,0.212058077982144,-0.00412870723047629,0.296921642336865
"H1","AO","t3",500,-0.030773546586532,0.0923870514564707,-0.00545116907407707,0.15053585500767
"H1","AO","t3",1000,-0.0178353449213139,0.0671133633797326,0.00159571706003625,0.118063598660741
"H1","AO","t3",5000,-0.0102834276876536,0.0298614991329971,-0.000230668914602709,0.0532997115559631
"H1","IO","gaussian",100,-0.0318889431709672,0.240523109742694,-0.00859169725406566,0.297800828803165
"H1","IO","gaussian",500,-0.0218056327102161,0.0817857769284592,-0.0016435875556402,0.1467219645877
"H1","IO","gaussian",1000,-0.0197354714380974,0.0574167430469268,-0.00332485545607257,0.108670888395107
"H1","IO","gaussian",5000,-0.0096609480233364,0.025385790937175,0.000449061534845636,0.0513405198690925
"H1","IO","t3",100,-0.0389721134494167,0.298935796698011,-0.00855704565316753,0.383504331896954
"H1","IO","t3",500,-0.0234257517302022,0.121303154740038,-0.00559547827855313,0.194898842673438
"H1","IO","t3",1000,-0.021805645442749,0.0814731102392391,-0.00199466249681707,0.152581604649491
"H1","IO","t3",5000,-0.0134289291152573,0.0341667720544507,-0.00609956797829399,0.0776730880751886
"H1","RO","gaussian",100,-0.036411612712032,0.194926884588629,-0.0158175593434701,0.256011275626353
"H1","RO","gaussian",500,-0.0190586361489849,0.0717341078747318,0.000131300842786829,0.112007567863191
"H1","RO","gaussian",1000,-0.0193372264752764,0.0495866745834385,-0.00775692111825754,0.0815887538412946
"H1","RO","gaussian",5000,-0.00804985633341945,0.0228097882677588,-0.00170416772913519,0.0357056547321635
"H1","RO","t3",100,-0.0342559369247918,0.239018939481978,0.014930696031947,0.327616065059898
"H1","RO","t3",500,-0.0261796627540147,0.0954840168897114,0.00153763481720166,0.155698764284349
"H1","RO","t3",1000,-0.0231117802840364,0.0705980317068073,-0.00822946958213201,0.120531757175317
"H1","RO","t3",5000,-0.0118280132549631,0.0306107671920221,-0.00276427714502569,0.0544188563797725
"H1","clean","gaussian",100,-0.0336804287913573,0.14760669538205,-0.012652953444051,0.202473421488241
"H1","clean","gaussian",500,-0.0224054456414416,0.0665037299915968,-0.00227017835657003,0.0967386326176998
"H1","clean","gaussian",1000,-0.0134787277569414,0.0460383424788178,-0.000183318234359087,0.0679751196134298
"H1","clean","gaussian",5000,-0.00660348838889364,0.0209800883676143,0.00133347973414075,0.0319278439019987
"H1","clean","t3",100,-0.0257549413625924,0.184069602999382,-0.00477996870408863,0.263262171965633
"H1","clean","t3",500,-0.0233822045850252,0.0815971401180177,0.00460905866843903,0.135138853098126
"H1","clean","t3",1000,-0.0165036436782543,0.0590114051522592,-1.89038770844065e-05,0.100931238177707
"H1","clean","t3",5000,-0.0101139271569045,0.0261888965102248,-0.0016634991617854,0.0450556919351662
"H2","AO","gaussian",100,-0.0303000636612573,0.154126030208424,0.00202693031715415,0.226573019723137
"H2","AO","gaussian",500,-0.0179888496598826,0.0693824813454323,0.0033058512935908,0.112631774561855
"H2","AO","gaussian",1000,-0.0162622430324169,0.0494030054423162,-0.00378686808227623,0.0751662027498427
"H2","AO","gaussian",5000,-0.0076056653598081,0.0210809909248906,0.000490194687393335,0.0361610042945391
"H2","AO","t3",100,-0.0395083041032221,0.219439731536328,-0.0160583388608761,0.308935667209743
"H2","AO","t3",500,-0.0218093945728275,0.0928253379612597,-0.00833999321693672,0.149629859466504
"H2","AO","t3",1000,-0.0149284292031475,0.0651224348278692,-0.00102606054251279,0.113610341268729
"H2","AO","t3",5000,-0.00950980861678109,0.0298192976867994,0.00209701249660111,0.0543289834807408
"H2","IO","gaussian",100,-0.0492537392650498,0.249498424037776,-0.00740446199394773,0.307929254015349
"H2","IO","gaussian",500,-0.0253430049729878,0.0856988672383503,-0.00679287205673507,0.151963263703075
"H2","IO","gaussian",1000,-0.0212367783334718,0.0582018291160059,0.00098528907108214,0.107267827794824
"H2","IO","gaussian",5000,-0.00938125185402105,0.0262632003937733,-0.00245370257472826,0.0535722120602845
"H2","IO","t3",100,-0.0365594565807306,0.305585041412899,0.0128780408469282,0.39454078228401
"H2","IO","t3",500,-0.0264325881531271,0.120322320204915,-0.000662681750047418,0.202874238055947
"H2","IO","t3",1000,-0.021386235953312,0.081382784753254,-0.00410934549482378,0.153428919107213
"H2","IO","t3",5000,-0.0124359012865547,0.0351032303863859,-0.000898498184586362,0.0768944349790962
"H2","RO","gaussian",100,-0.0219288994689201,0.18239111753203,0.00439542201396276,0.238597505189864
"H2","RO","gaussian",500,-0.0204855943103916,0.074841835663495,0.00425264960171831,0.116969876141363
"H2","RO","gaussian",1000,-0.0184344687234711,0.0498176498403365,-0.00354025888878383,0.0802315005662451
"H2","RO","gaussian",5000,-0.00819756677132107,0.0229081785743693,-0.00174854698260557,0.0357769277386861
"H2","RO","t3",100,-0.0293289510834518,0.239388594560742,0.0178794485357713,0.314323347718685
"H2","RO","t3",500,-0.0168797297875387,0.0972407326622656,0.00520674003806721,0.148588575968244
"H2","RO","t3",1000,-0.0195277721590405,0.0695632585815573,0.00432257037407322,0.113628588364985
"H2","RO","t3",5000,-0.00951626822320802,0.0299798018490142,-0.00246570131160905,0.0558535987919201
"H2","clean","gaussian",100,-0.0350794663436082,0.147744980222948,-0.018456501771272,0.204000262863179
"H2","clean","gaussian",500,-0.0204325046122152,0.0649514089031875,-0.00372255416661618,0.0979207331060465
"H2","clean","gaussian",1000,-0.0139927464410241,0.0458309043625072,-0.000931531418735013,0.0735849208746036
"H2","clean","gaussian",5000,-0.00472232509474443,0.0204943317142453,0.0012437477112663,0.0329941933514746
"H2","clean","t3",100,-0.0198929076913671,0.191211222275726,0.0105490189809544,0.260976495835749
"H2","clean","t3",500,-0.0226164719847007,0.0867259454858557,-0.000530697271006656,0.138619978688782
"H2","clean","t3",1000,-0.0184976481347484,0.0605993413903453,-0.00244378415104843,0.0991762544401976
"H2","clean","t3",5000,-0.010876378284003,0.0266023473255307,0.000285173724352508,0.0490325343356514
